Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,07/12/2019,15:00,Motherwell,Hearts,1,0,H,1,0,H,A Muir,4,7,1,2,13,15,5,1,3,1,0,1
SC0,14/12/2019,15:00,Aberdeen,Hamilton,1,0,H,0,0,D,W Collum,17,4,5,0,20,10,8,4,0,1,0,0
SC0,14/12/2019,15:00,Hearts,St Johnstone,0,1,A,0,0,D,A Newlands,6,9,3,3,15,7,12,7,2,2,0,0
SC0,14/12/2019,15:00,Ross County,Kilmarnock,1,0,H,0,0,D,A Muir,13,10,4,2,13,16,7,4,3,1,0,0
SC0,14/12/2019,15:00,St Mirren,Livingston,3,3,D,1,2,A,N Walsh,9,10,5,5,10,14,5,7,1,3,0,0
SC0,15/12/2019,12:00,Motherwell,Rangers,0,2,A,0,1,A,D Robertson,7,15,1,7,12,15,2,9,3,2,0,1
SC0,15/12/2019,15:00,Celtic,Hibernian,2,0,H,1,0,H,J Beaton,21,4,5,0,7,8,5,2,1,2,0,0
SC0,18/12/2019,19:45,Hearts,Celtic,0,2,A,0,2,A,B Madden,12,13,3,5,11,10,2,7,4,2,0,0
SC0,20/12/2019,19:45,Hibernian,Rangers,0,3,A,0,2,A,N Walsh,7,13,1,10,9,7,2,5,5,1,1,0
SC0,21/12/2019,15:00,Celtic,Aberdeen,2,1,H,1,1,D,E Anderson,28,2,11,1,12,13,6,1,2,1,0,1
SC0,21/12/2019,15:00,Hamilton,Hearts,2,1,H,0,0,D,D Munro,6,19,4,3,15,16,1,11,3,4,0,0
SC0,21/12/2019,15:00,Kilmarnock,Motherwell,0,1,A,0,0,D,W Collum,14,9,6,5,15,17,3,5,1,3,0,0
SC0,21/12/2019,15:00,Livingston,Ross County,4,0,H,2,0,H,C Steven,10,4,6,2,16,12,6,2,1,0,0,0
SC0,21/12/2019,15:00,St Johnstone,St Mirren,0,0,D,0,0,D,J Beaton,7,10,2,3,9,12,6,4,3,2,0,0
SC0,26/12/2019,12:30,Hearts,Hibernian,0,2,A,0,2,A,D Robertson,16,7,5,4,17,10,10,2,3,2,0,0
SC0,26/12/2019,15:00,Aberdeen,Livingston,2,1,H,1,0,H,B Madden,11,5,3,2,12,10,6,4,1,0,0,0
SC0,26/12/2019,15:00,Hamilton,St Johnstone,0,1,A,0,0,D,G Duncan,7,6,2,1,8,17,2,4,1,2,0,0
SC0,26/12/2019,15:00,Rangers,Kilmarnock,1,0,H,0,0,D,S McLean,19,3,7,2,10,11,12,1,0,3,0,0
SC0,26/12/2019,15:00,Ross County,Motherwell,1,2,A,1,0,H,G Aitken,12,19,2,8,16,10,2,6,3,3,1,0
