Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,away_shots,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
08/12/01,Hibernian,Motherwell,1,1,D,1,0,H,11,5,5,2,7,4,14,22,0,4,0,0
08/12/01,Kilmarnock,Aberdeen,3,1,H,1,0,H,9,6,4,1,4,3,14,15,0,1,0,0
08/12/01,St Johnstone,Dundee,0,2,A,0,1,A,6,13,2,5,5,4,12,9,0,0,0,0
09/12/01,Dunfermline,Celtic,0,4,A,0,2,A,6,18,3,7,1,9,7,12,2,3,0,0
09/12/01,Rangers,Hearts,3,1,H,2,1,H,15,6,8,2,5,6,10,11,0,0,0,0
12/12/01,Rangers,Hibernian,1,1,D,0,1,A,19,6,9,4,11,2,4,15,0,1,0,0
15/12/01,Celtic,Dundee,3,1,H,0,1,A,13,10,9,5,10,3,10,14,0,2,0,0
15/12/01,Dundee United,Aberdeen,1,1,D,1,0,H,12,5,5,2,5,3,16,29,1,1,0,0
15/12/01,Dunfermline,Hibernian,1,0,H,0,0,D,6,6,1,3,10,5,18,16,3,1,0,1
15/12/01,Hearts,Kilmarnock,2,0,H,2,0,H,10,7,9,4,5,5,19,16,1,3,0,0
15/12/01,Livingston,St Johnstone,2,1,H,0,0,D,12,12,8,3,11,2,10,22,0,4,0,0
15/12/01,Motherwell,Rangers,2,2,D,1,1,D,9,14,6,7,2,10,12,12,4,2,0,1
22/12/01,Aberdeen,Celtic,2,0,H,0,0,D,10,12,5,4,4,10,23,8,5,4,1,0
22/12/01,Dundee,Kilmarnock,1,2,A,0,1,A,10,12,4,8,4,10,8,14,3,4,0,0
22/12/01,Hearts,Motherwell,3,1,H,0,1,A,16,7,9,3,6,1,17,23,1,4,0,1
22/12/01,Livingston,Dunfermline,0,0,D,0,0,D,7,9,1,2,5,0,15,13,2,1,0,0
22/12/01,Rangers,Dundee United,3,2,H,2,1,H,10,9,6,3,4,2,18,14,0,1,0,0
22/12/01,St Johnstone,Hibernian,0,0,D,0,0,D,8,10,5,0,4,13,12,11,1,0,0,0
26/12/01,Celtic,Livingston,3,2,H,1,1,D,17,5,10,3,8,2,12,22,3,3,1,0
26/12/01,Dundee United,Hearts,0,2,A,0,1,A,9,7,3,4,5,5,20,19,3,1,0,0
26/12/01,Hibernian,Rangers,0,3,A,0,1,A,10,18,4,8,5,9,24,16,3,2,2,0
26/12/01,Kilmarnock,Dunfermline,0,0,D,0,0,D,7,8,2,3,5,10,17,10,0,0,0,0
26/12/01,Motherwell,St Johnstone,1,2,A,0,2,A,12,10,6,6,14,5,12,12,0,1,1,1
29/12/01,Dundee United,Celtic,0,4,A,0,2,A,7,15,2,8,3,4,10,6,2,1,0,0
29/12/01,Dunfermline,Aberdeen,1,0,H,1,0,H,12,15,6,10,5,0,19,10,1,1,0,0
29/12/01,Hearts,Hibernian,1,1,D,1,0,H,10,9,5,4,4,7,18,19,1,2,0,0
29/12/01,Livingston,Kilmarnock,0,1,A,0,1,A,9,5,3,3,5,3,8,12,0,1,0,0
29/12/01,Rangers,St Johnstone,1,0,H,1,0,H,17,7,10,3,12,1,9,14,1,0,0,0
02/01/02,Aberdeen,Livingston,0,3,A,0,1,A,7,9,3,4,4,3,22,19,0,3,0,0
02/01/02,Celtic,Motherwell,2,0,H,0,0,D,20,3,12,1,10,2,13,17,1,4,0,0
02/01/02,Hibernian,Dundee United,0,1,A,0,0,D,11,3,3,2,12,3,6,24,1,4,0,1
02/01/02,St Johnstone,Hearts,0,2,A,0,1,A,7,11,2,6,4,8,14,10,0,0,0,0
09/01/02,Motherwell,Dundee,4,2,H,2,1,H,13,16,7,9,5,8,13,10,1,2,0,0
12/01/02,Dundee,Hibernian,1,0,H,0,0,D,9,8,3,3,5,7,13,18,2,1,0,1
12/01/02,Hearts,Aberdeen,3,1,H,1,1,D,17,12,6,2,6,3,13,16,2,2,0,1
12/01/02,Kilmarnock,Celtic,0,2,A,0,0,D,11,8,4,5,11,3,12,18,3,2,0,0
12/01/02,Motherwell,Dundee United,2,0,H,0,0,D,17,6,8,3,7,5,11,19,1,2,0,0
12/01/02,Rangers,Livingston,3,0,H,2,0,H,14,3,8,1,5,4,11,12,1,3,0,0
12/01/02,St Johnstone,Dunfermline,0,1,A,0,0,D,8,9,4,6,6,9,12,11,1,2,0,0
19/01/02,Aberdeen,Rangers,0,1,A,0,1,A,9,11,1,3,4,6,19,15,0,1,0,0
19/01/02,Celtic,St Johnstone,2,1,H,2,1,H,16,4,7,2,10,4,10,13,0,2,0,0
19/01/02,Dundee United,Dundee,1,0,H,0,0,D,14,7,8,5,5,8,12,18,1,2,0,0
19/01/02,Dunfermline,Motherwell,3,1,H,1,0,H,12,6,5,3,4,3,17,24,1,2,0,0
19/01/02,Hibernian,Kilmarnock,2,2,D,1,0,H,15,10,8,4,6,1,20,14,2,0,0,0
