Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,06/02/2021,15:00,Livingston,St Johnstone,1,2,A,0,1,A,E Anderson,7,15,3,6,17,16,1,7,2,1,0,0
SC0,06/02/2021,15:00,Ross County,Dundee United,0,2,A,0,0,D,G Irvine,14,17,5,6,14,14,5,6,1,3,0,0
SC0,06/02/2021,15:00,St Mirren,Kilmarnock,2,0,H,1,0,H,J Beaton,14,13,5,1,10,15,3,3,1,4,0,0
SC0,07/02/2021,12:00,Hamilton,Rangers,1,1,D,0,0,D,B Madden,12,15,7,2,17,13,5,4,1,1,0,0
SC0,10/02/2021,18:00,Kilmarnock,Motherwell,0,1,A,0,0,D,W Collum,18,11,5,4,14,15,6,1,0,2,0,0
SC0,10/02/2021,20:00,St Mirren,Celtic,0,4,A,0,1,A,D Robertson,13,18,2,6,15,13,3,3,2,1,0,0
SC0,13/02/2021,15:00,Aberdeen,St Mirren,0,0,D,0,0,D,E Anderson,9,7,3,2,14,13,1,4,1,1,0,0
SC0,13/02/2021,15:00,Dundee United,Livingston,3,0,H,2,0,H,N Walsh,11,13,6,9,11,12,3,4,2,1,1,1
SC0,13/02/2021,15:00,Motherwell,Hamilton,1,4,A,0,3,A,D Munro,11,15,1,5,13,18,7,5,3,3,1,0
SC0,13/02/2021,15:00,Rangers,Kilmarnock,1,0,H,1,0,H,D Robertson,13,2,6,0,16,16,10,3,0,2,0,0
SC0,14/02/2021,12:00,St Johnstone,Celtic,1,2,A,0,0,D,S McLean,6,10,1,5,13,13,3,9,0,2,0,0
SC0,17/02/2021,18:00,Celtic,Aberdeen,1,0,H,1,0,H,A Muir,12,10,3,2,12,18,4,6,0,2,0,0
SC0,17/02/2021,18:00,St Mirren,Hamilton,1,1,D,0,0,D,S McLean,15,12,3,4,15,7,6,5,2,1,0,0
SC0,20/02/2021,15:00,Aberdeen,Kilmarnock,1,0,H,1,0,H,D Robertson,10,8,4,4,12,11,2,3,1,2,0,0
SC0,20/02/2021,15:00,Hibernian,Hamilton,2,0,H,1,0,H,C Napier,17,8,8,6,12,11,8,3,1,1,0,1
SC0,20/02/2021,15:00,Motherwell,St Johnstone,0,3,A,0,2,A,J Beaton,1,22,1,7,10,13,6,7,1,0,0,0
SC0,20/02/2021,15:00,St Mirren,Livingston,1,1,D,1,1,D,W Collum,16,7,4,1,7,14,6,8,0,1,0,0
SC0,21/02/2021,15:00,Rangers,Dundee United,4,1,H,2,0,H,N Walsh,22,7,11,4,6,9,7,0,0,3,0,0
SC0,21/02/2021,19:30,Ross County,Celtic,1,0,H,0,0,D,D Munro,6,19,4,4,9,8,2,9,0,0,0,0
SC0,24/02/2021,18:00,St Mirren,Motherwell,0,0,D,0,0,D,K Clancy,7,13,2,2,8,11,5,9,2,1,0,0
SC0,27/02/2021,15:00,Celtic,Aberdeen,1,0,H,1,0,H,W Collum,12,9,3,3,8,17,7,4,0,1,0,0
SC0,27/02/2021,15:00,Hibernian,Motherwell,0,2,A,0,1,A,A Muir,16,12,3,2,9,12,6,4,2,0,0,0
SC0,27/02/2021,15:00,Kilmarnock,Dundee United,1,1,D,0,1,A,D Munro,13,11,5,4,14,16,4,2,1,4,0,0
SC0,27/02/2021,15:00,St Mirren,Ross County,1,0,H,0,0,D,G Aitken,13,11,4,4,8,13,4,8,1,1,0,0
SC0,03/03/2021,18:00,Hamilton,St Johnstone,1,1,D,1,0,H,G Irvine,12,17,3,5,16,13,8,8,2,3,0,0
SC0,03/03/2021,18:00,Livingston,Rangers,0,1,A,0,0,D,J Beaton,7,11,0,4,20,10,4,5,6,2,0,0
SC0,06/03/2021,15:00,Aberdeen,Hamilton,0,0,D,0,0,D,B Madden,15,10,3,2,9,10,4,4,2,1,0,0
SC0,06/03/2021,15:00,Motherwell,Livingston,3,1,H,1,0,H,C Steven,14,10,6,4,9,20,2,3,1,4,0,0
SC0,06/03/2021,15:00,Rangers,St Mirren,3,0,H,2,0,H,S McLean,10,5,7,1,12,10,7,6,1,2,0,0
SC0,06/03/2021,15:00,Ross County,Kilmarnock,3,2,H,1,1,D,E Anderson,9,10,5,2,19,12,3,8,2,1,0,1
SC0,06/03/2021,15:00,St Johnstone,Hibernian,1,0,H,1,0,H,D Dickinson,6,13,2,2,10,20,0,9,1,2,0,0
SC0,07/03/2021,12:00,Dundee United,Celtic,0,0,D,0,0,D,K Clancy,9,27,4,12,15,4,5,9,5,2,0,0
SC0,13/03/2021,15:00,Livingston,Hamilton,2,1,H,2,1,H,K Clancy,9,4,3,1,14,18,3,3,2,2,0,0
SC0,13/03/2021,15:00,Ross County,Hibernian,1,2,A,0,0,D,J Beaton,9,14,4,6,11,11,1,7,1,3,0,0
SC0,20/03/2021,15:00,Dundee United,Aberdeen,1,0,H,0,0,D,G Aitken,7,9,2,1,12,12,8,10,0,1,0,0
SC0,20/03/2021,15:00,Hamilton,St Mirren,1,1,D,0,1,A,D Robertson,9,17,2,4,15,11,5,8,0,1,0,0
SC0,20/03/2021,15:00,Kilmarnock,Motherwell,4,1,H,1,1,D,A Muir,13,9,5,3,14,14,4,6,3,1,0,0
SC0,20/03/2021,15:00,Livingston,Hibernian,1,1,D,1,1,D,N Walsh,12,12,5,2,15,13,2,6,1,0,0,0
SC0,20/03/2021,15:00,St Johnstone,Ross County,1,0,H,0,0,D,C Napier,22,2,8,0,15,17,13,3,0,3,0,0
SC0,21/03/2021,12:00,Celtic,Rangers,1,1,D,1,1,D,W Collum,16,9,8,3,16,13,10,5,3,1,0,0
