Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
20/01/13,Motherwell,St Johnstone,3,2,H,2,0,H,8,18,6,9,12,16,4,7,0,1,0,0
22/01/13,Celtic,Dundee United,4,0,H,2,0,H,22,6,10,1,15,8,11,3,0,2,0,0
26/01/13,Dundee United,Ross County,1,1,D,0,0,D,10,7,3,5,5,8,6,4,0,2,0,0
27/01/13,Aberdeen,Hibernian,0,0,D,0,0,D,14,3,3,3,11,10,6,4,1,4,0,0
27/01/13,Dundee,Kilmarnock,0,0,D,0,0,D,4,4,2,3,5,7,8,5,0,2,0,0
30/01/13,Celtic,Kilmarnock,4,1,H,1,0,H,20,6,10,4,5,8,10,0,1,1,0,0
30/01/13,Hearts,Dundee,1,0,H,0,0,D,24,3,13,0,7,9,8,1,1,1,0,0
30/01/13,Ross County,Hibernian,1,0,H,1,0,H,8,6,4,4,12,11,0,1,2,1,0,0
30/01/13,St Johnstone,Aberdeen,3,1,H,1,1,D,7,11,5,5,7,10,3,6,1,2,0,0
30/01/13,St Mirren,Inverness C,2,1,H,1,1,D,10,8,7,7,9,11,6,7,0,1,0,0
02/02/13,Ross County,Hearts,2,2,D,1,1,D,9,12,5,7,13,9,9,7,3,1,0,0
08/02/13,Dundee,Ross County,0,2,A,0,0,D,7,6,5,3,6,11,3,3,2,2,0,0
09/02/13,Aberdeen,St Mirren,0,0,D,0,0,D,7,9,3,6,13,14,8,7,2,3,1,0
09/02/13,Dundee United,Hearts,3,1,H,1,0,H,3,8,1,4,3,5,2,4,1,3,0,1
09/02/13,Inverness C,Celtic,1,3,A,1,1,D,7,12,4,7,7,16,5,8,0,0,0,0
09/02/13,Kilmarnock,Motherwell,2,0,H,1,0,H,9,13,4,7,8,14,1,9,1,2,0,2
11/02/13,Hibernian,St Johnstone,1,3,A,0,2,A,8,9,1,5,16,21,6,3,2,3,0,0
13/02/13,Inverness C,Kilmarnock,1,1,D,1,0,H,13,2,7,1,10,11,9,4,1,0,0,0
15/02/13,Aberdeen,Dundee,1,0,H,1,0,H,7,9,3,4,10,10,4,4,0,1,0,0
16/02/13,Celtic,Dundee United,6,2,H,3,1,H,20,5,7,4,6,5,5,4,2,0,0,0
16/02/13,Hearts,Kilmarnock,0,3,A,0,1,A,11,6,7,5,11,9,12,3,1,1,0,0
16/02/13,Motherwell,Inverness C,3,0,H,1,0,H,14,9,4,2,12,9,3,3,0,2,0,0
16/02/13,Ross County,St Johnstone,1,0,H,1,0,H,8,13,4,7,9,14,3,9,1,3,0,0
16/02/13,St Mirren,Hibernian,0,1,A,0,0,D,2,6,1,2,5,12,4,2,1,2,0,0
19/02/13,Motherwell,Dundee United,0,1,A,0,1,A,11,10,6,7,6,8,7,4,1,2,0,0
19/02/13,St Johnstone,Celtic,1,1,D,0,1,A,6,12,3,8,17,10,2,8,3,1,0,0
23/02/13,Hearts,Inverness C,2,3,A,0,1,A,13,5,4,2,16,17,7,4,2,3,0,0
23/02/13,Kilmarnock,Aberdeen,1,1,D,1,1,D,8,14,4,6,7,10,11,8,0,1,0,0
23/02/13,Ross County,Motherwell,3,0,H,1,0,H,11,6,7,3,8,13,3,3,2,2,0,0
23/02/13,St Johnstone,St Mirren,1,0,H,0,0,D,11,7,3,2,12,12,7,6,3,1,0,0
24/02/13,Celtic,Dundee,5,0,H,1,0,H,22,7,9,2,15,10,3,6,1,1,0,1
24/02/13,Dundee United,Hibernian,2,2,D,1,1,D,8,11,2,6,11,16,4,3,2,1,0,0
26/02/13,Aberdeen,Ross County,0,1,A,0,0,D,10,7,6,6,15,13,4,4,0,0,0,0
27/02/13,Dundee,St Johnstone,2,2,D,1,1,D,10,7,5,4,11,15,4,9,1,4,1,0
27/02/13,Hibernian,Kilmarnock,2,2,D,0,0,D,12,13,4,7,13,7,8,2,1,1,0,0
27/02/13,Inverness C,Dundee United,0,0,D,0,0,D,9,9,7,2,10,8,4,3,1,1,0,0
27/02/13,Motherwell,Celtic,2,1,H,1,0,H,6,10,3,5,14,11,4,2,0,2,0,0
27/02/13,St Mirren,Hearts,2,0,H,2,0,H,4,13,2,8,8,15,3,5,0,1,0,0
02/03/13,Hearts,Motherwell,1,2,A,0,2,A,21,4,9,3,12,12,6,0,0,2,0,0
02/03/13,Ross County,Inverness C,0,0,D,0,0,D,8,5,3,1,10,9,3,5,1,2,0,0
05/03/13,Hearts,St Johnstone,2,0,H,1,0,H,12,5,5,4,16,18,2,3,3,2,0,0
06/03/13,Dundee,St Mirren,2,1,H,0,1,A,12,15,4,9,13,8,5,6,3,1,0,0
09/03/13,Aberdeen,Motherwell,0,0,D,0,0,D,13,7,1,2,10,6,8,9,0,1,0,0
09/03/13,Dundee,Inverness C,1,1,D,1,0,H,6,12,3,5,12,13,6,7,2,2,0,0
09/03/13,Ross County,Celtic,3,2,H,2,2,D,11,12,4,7,13,11,4,4,0,2,0,0
09/03/13,St Johnstone,Kilmarnock,2,0,H,0,0,D,9,4,6,3,10,7,11,5,1,2,0,0
09/03/13,St Mirren,Dundee United,0,0,D,0,0,D,18,10,9,2,11,10,6,3,2,0,0,1
10/03/13,Hibernian,Hearts,0,0,D,0,0,D,7,12,3,6,12,20,6,5,1,3,0,0
15/03/13,Motherwell,Hibernian,4,1,H,0,1,A,13,8,10,5,13,12,3,4,1,1,0,0
16/03/13,Celtic,Aberdeen,4,3,H,1,1,D,18,6,13,5,8,10,9,6,1,5,0,0
16/03/13,Inverness C,Ross County,2,1,H,1,1,D,5,8,3,3,10,13,3,6,0,3,0,0
17/03/13,Dundee United,Dundee,1,1,D,0,0,D,21,5,9,3,10,14,6,2,2,4,0,1
30/03/13,Aberdeen,Hearts,2,0,H,1,0,H,13,13,8,7,9,12,7,5,1,3,0,0
30/03/13,Dundee,Motherwell,0,3,A,0,1,A,4,5,1,5,6,4,6,7,1,1,0,0
30/03/13,Hibernian,Inverness C,1,2,A,0,0,D,9,9,4,5,16,11,9,3,2,1,0,0
30/03/13,Ross County,Kilmarnock,0,1,A,0,1,A,16,5,7,2,8,11,10,2,1,1,0,0
31/03/13,St Mirren,Celtic,1,1,D,0,1,A,10,5,3,2,4,10,9,4,1,1,0,1
01/04/13,St Johnstone,Dundee United,1,1,D,0,1,A,19,5,9,2,10,12,8,2,2,2,0,1
03/04/13,Kilmarnock,St Mirren,1,1,D,0,1,A,11,9,4,3,2,10,9,5,1,3,0,0
05/04/13,Inverness C,St Johnstone,0,0,D,0,0,D,9,13,6,5,12,13,3,2,0,2,0,0
06/04/13,Celtic,Hibernian,3,0,H,1,0,H,8,1,8,1,8,6,4,1,0,0,0,0
06/04/13,Dundee United,Aberdeen,1,0,H,0,0,D,6,6,3,4,6,5,4,7,2,1,0,0
06/04/13,Hearts,Ross County,4,2,H,0,1,A,15,15,5,9,9,11,10,3,2,2,0,0
06/04/13,Kilmarnock,Dundee,1,2,A,0,1,A,6,6,2,3,8,7,6,1,0,3,0,0
