Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H
SC0,23/01/2019,Celtic,St Mirren,4,0,H,2,0,H,E Anderson,20,1,9,1,14,9,8,2,1,1,0,0,1.1
SC0,23/01/2019,Hamilton,Aberdeen,0,3,A,0,1,A,G Aitken,3,8,2,4,16,16,4,2,3,2,0,0,6.5
SC0,23/01/2019,Hearts,Dundee,1,2,A,1,1,D,J Beaton,16,10,8,6,9,16,7,2,1,3,0,0,1.4
SC0,23/01/2019,Kilmarnock,Rangers,2,1,H,1,1,D,D Robertson,8,15,3,7,14,16,3,6,5,2,0,0,5.25
SC0,23/01/2019,Motherwell,Hibernian,1,0,H,1,0,H,B Madden,13,11,5,3,12,13,3,1,1,2,0,0,3.4
SC0,23/01/2019,St Johnstone,Livingston,1,0,H,0,0,D,A Dallas,9,8,3,2,12,14,2,7,3,2,0,0,2.2
SC0,26/01/2019,Aberdeen,Kilmarnock,0,0,D,0,0,D,N Walsh,7,0,3,0,10,12,6,1,2,4,0,1,1.95
SC0,26/01/2019,Celtic,Hamilton,3,0,H,1,0,H,A Muir,25,3,14,1,9,11,13,3,0,3,0,0,1.1
SC0,26/01/2019,Dundee,Motherwell,0,1,A,0,0,D,W Collum,12,5,1,3,5,12,8,1,0,1,0,0,3.9
SC0,26/01/2019,Hearts,St Johnstone,2,0,H,0,0,D,C Thomson,14,2,7,0,10,11,8,3,1,3,0,0,2
SC0,27/01/2019,Livingston,Rangers,0,3,A,0,1,A,K Clancy,5,14,1,5,9,8,1,9,2,1,0,0,7
SC0,27/01/2019,St Mirren,Hibernian,1,3,A,1,0,H,S McLean,9,12,3,5,13,18,4,6,3,2,0,0,5.25
SC0,30/01/2019,Celtic,St Johnstone,2,0,H,0,0,D,G Aitken,21,1,9,0,10,7,9,2,1,1,0,0,1.16
SC0,01/02/2019,Kilmarnock,Hearts,1,2,A,1,2,A,S McLean,15,6,6,3,14,17,4,0,3,2,0,0,2.3
SC0,02/02/2019,Hamilton,Dundee,1,1,D,0,0,D,E Anderson,14,6,4,4,14,13,6,7,4,2,0,0,2.6
SC0,02/02/2019,Hibernian,Aberdeen,1,2,A,1,2,A,D Robertson,6,6,3,3,16,7,4,2,3,2,0,0,2.7
SC0,02/02/2019,Motherwell,Livingston,3,0,H,3,0,H,J Beaton,8,10,4,2,6,9,5,9,1,0,0,0,2.3
SC0,02/02/2019,Rangers,St Mirren,4,0,H,1,0,H,A Dallas,25,5,11,0,14,13,8,2,2,2,0,0,1.14
SC0,03/02/2019,St Johnstone,Celtic,0,2,A,0,0,D,W Collum,6,17,2,7,12,16,3,7,2,1,0,1,11
SC0,06/02/2019,Aberdeen,Rangers,2,4,A,1,3,A,B Madden,12,7,5,6,15,12,10,4,2,2,1,1,4
SC0,06/02/2019,Celtic,Hibernian,2,0,H,1,0,H,C Thomson,19,5,8,0,5,11,4,1,1,3,0,0,1.28
SC0,06/02/2019,Dundee,Kilmarnock,2,2,D,2,1,H,K Clancy,8,15,6,5,10,10,2,7,2,2,0,0,4.33
SC0,06/02/2019,Hamilton,St Johnstone,2,1,H,0,0,D,G Duncan,11,9,6,3,7,10,4,4,2,1,0,0,3.75
SC0,06/02/2019,Hearts,Livingston,0,0,D,0,0,D,A Muir,6,6,2,3,9,16,6,3,1,2,0,0,1.75
SC0,06/02/2019,St Mirren,Motherwell,1,2,A,0,1,A,N Walsh,9,12,4,7,8,13,9,8,1,2,0,0,3.4
SC0,16/02/2019,Aberdeen,St Mirren,2,2,D,1,1,D,C Thomson,16,7,5,2,8,14,11,3,0,2,0,0,1.3
SC0,16/02/2019,Hibernian,Hamilton,2,0,H,2,0,H,A Muir,13,6,4,3,15,11,8,4,3,2,0,0,1.45
SC0,16/02/2019,Livingston,Dundee,1,2,A,1,0,H,G Aitken,7,14,3,2,10,8,7,5,2,3,1,0,1.8
SC0,16/02/2019,Rangers,St Johnstone,0,0,D,0,0,D,S McLean,18,6,1,2,14,10,5,5,0,0,0,0,1.33
